,Country,PM10,PM2.5
0,Afghanistan,297.0,77.0
1,Albania,32.0,16.0
2,Andorra,18.0,11.0
3,Argentina,26.0,14.0
4,Australia,17.594594594594593,7.513513513513513
5,Austria,21.45,15.7
6,Bahrain,249.4,54.6
7,Bangladesh,140.5,78.0
8,Belgium,23.74418604651163,15.883720930232558
9,Bhutan,78.0,43.0
10,Bolivia-Plurinational States of,71.0,38.0
11,Bosnia and Herzegovina,78.0,47.5
12,Brazil,33.8,15.177777777777777
13,Bulgaria,43.32,29.32
14,Cameroon,103.66666666666667,82.66666666666667
15,Canada,12.523809523809524,7.087301587301587
16,Chile,46.391304347826086,23.608695652173914
17,China,84.4047619047619,52.04761904761905
18,Colombia,39.94444444444444,20.166666666666668
19,Costa Rica,29.0,21.714285714285715
20,Croatia,31.2,19.0
21,Cyprus,36.4,16.0
22,Czech Republic,28.122448979591837,20.93877551020408
23,Denmark,22.0,10.0
24,Ecuador,35.77777777777778,16.555555555555557
25,Egypt,173.0,73.5
26,El Salvador,77.0,42.0
27,Estonia,15.5,7.5
28,Finland,13.875,7.050416666666666
29,France,19.355555555555554,12.041269841269841
30,Georgia,41.5,22.0
31,Germany,19.347826086956523,13.559006211180124
32,Greece,33.9,12.7
33,Guatemala,56.0,41.0
34,Honduras,59.0,36.0
35,Hungary,25.705882352941178,20.529411764705884
36,Iceland,11.666666666666666,7.666666666666667
37,India,107.43442622950819,58.540983606557376
38,Indonesia,59.0,33.0
39,Iran (Islamic Republic of),114.72,47.68
40,Iraq,208.0,88.0
41,Ireland,16.25,10.25
42,Israel,43.8,19.175
43,Italy,26.033898305084747,17.46186440677966
44,Jamaica,37.833333333333336,20.5
45,Japan,27.533333333333335,14.733333333333333
46,Jordan,77.5,33.0
47,Kenya,33.0,17.0
48,Kuwait,139.1818181818182,57.09090909090909
49,Latvia,24.25,16.25
50,Lebanon,38.0,30.25
51,Liberia,59.0,9.5
52,Lithuania,29.555555555555557,19.88888888888889
53,Luxembourg,20.0,14.666666666666666
54,Madagascar,60.0,37.0
55,Malaysia,30.666666666666668,16.166666666666668
56,Maldives,20.0,11.0
57,Malta,28.25,13.0
58,Mauritius,48.4,24.8
59,Mexico,56.111111111111114,25.88888888888889
60,Monaco,15.0,9.0
61,Mongolia,165.0,75.0
62,Montenegro,41.6,25.6
63,Morocco,45.0,20.285714285714285
64,Myanmar,95.28571428571429,53.07142857142857
65,Nepal,88.0,49.0
66,Netherlands,22.75,14.458333333333334
67,New Zealand,16.1,7.993250000000001
68,Nigeria,202.16666666666666,36.416666666666664
69,Norway,20.333333333333332,9.666666666666666
70,Oman,82.0,35.0
71,Pakistan,338.6,88.0
72,Panama,31.0,14.0
73,Paraguay,34.0,18.0
74,Peru,88.0,48.0
75,Philippines,52.5,26.125
76,Poland,33.53896103896104,25.064935064935064
77,Portugal,14.583333333333334,10.333333333333334
78,Qatar,160.0,89.0
79,Republic of Korea,46.75,24.625
80,Romania,24.761904761904763,17.523809523809526
81,Russian Federation,33.0,20.0
82,Saudi Arabia,247.57142857142858,104.71428571428571
83,Senegal,141.0,34.0
84,Serbia,33.666666666666664,20.666666666666668
85,Singapore,30.0,18.0
86,Slovakia,29.38095238095238,19.476190476190474
87,Slovenia,25.76923076923077,19.615384615384617
88,South Africa,53.92307692307692,29.923076923076923
89,Spain,17.73777777777778,9.52
90,Sri Lanka,64.0,36.0
91,Sweden,19.842105263157894,6.0142105263157895
92,Switzerland,20.11111111111111,14.0
93,Thailand,44.88461538461539,24.846153846153847
94,The former Yugoslav Republic of Macedonia,83.5,49.0
95,Tunisia,78.75,33.5
96,Turkey,61.135802469135804,37.28395061728395
97,Uganda,170.0,104.0
98,Unit. Rep. of Tanzania,35.0,23.0
99,United Arab Emirates,135.8,57.4
100,United Kingdom,17.88,12.18
101,United States of America,15.341397849462366,8.33736559139785
102,Uruguay,26.0,8.0
103,Venezuela-Bolivarian Republic of,47.0,25.0
